EnglishName,CriteriaD_Category,CriteriaD_String,MinMaturePop,MaxMaturePop,MinPop,MaxPop,Min Breeding Pop Percent,Max Breeding Pop Percent,Male Ratio,Largest_Sub_Pop,MaxAOO,Locations,GenerationLength,OneGen,ThreeGen,TimeToVU,TimeToEN,TimeToCR,PlausibleThreat_VU,PlausibleThreat_NT,CR_D,EN_D,VU_D1,NT_D1,VU_D2,NT_D2,CR_D_triggers,EN_D_triggers,VU_D_triggers,NT_D_triggers
Tibetan Siskin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3516,NA,2.88,2.88,8.64,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
White-winged Redstart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78873,NA,2.92,2.92,8.76,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Yellow-billed Chough,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.93,8.93,26.79,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Black-headed Mountain Finch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55005,NA,2.82,2.82,8.459999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Hume's Short-toed Lark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427877,NA,3.02,3.02,9.06,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Robin Accentor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45364,NA,3.81,3.81,11.43,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Tibetan Sandgrouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11051,NA,5.23,5.23,15.690000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
White-throated Dipper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78431,NA,2.7,2.7,8.100000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Lanceolated Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,2.35,2.35,7.050000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Oriental Hobby,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64372,NA,4.41,4.41,13.23,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Asian Koel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.58,5.58,16.740000000000002,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Beautiful Nuthatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53422,NA,2.61,2.61,7.83,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Beautiful Sibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39916,NA,4.19,4.19,12.57,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Black-bellied Tern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,808630,NA,6.56,6.56,19.68,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Black-throated Parrotbill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106547,NA,2.1,2.1,6.300000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Blyth's Kingfisher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14637,NA,3.81,3.81,11.43,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Bronzed Drongo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,3.05,9.149999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
