"","Species","MinAOO","MaxAOO","MinEstimate_2km","EOOStartYear","LikelyEOO","MaxEOO","EOOYearBandChange","EOOChange","EOOChangePercent"
"1000","Andaman Bulbul",1718,3822,828,2016,13106,19653,NA,NA,NA
"1001","Andaman Coucal",3059,4860,1044,2020,13568,20538,NA,NA,NA
"1002","Andaman Cuckooshrike",476,3072,312,2019,12800,17327,NA,NA,NA
"1003","Andaman Drongo",2058,4098,940,2020,13145,19982,NA,NA,NA
"1004","Andaman Treepie",953,3208,464,2020,12822,19646,NA,NA,NA
"1005","Andaman Serpent-Eagle",802,3282,496,2017,13478,20236,NA,NA,NA
"1006","Andaman Wood-Pigeon",642,3946,416,2020,54255,NA,NA,NA,NA
"1007","Plume-toed Swiftlet",3694,6175,1400,2020,112173,NA,NA,NA,NA
"1008","White-headed Starling",1874,4542,932,2016,37448,NA,NA,NA,NA
"1009","White-crowned Forktail",571,7557,236,2023,23608,29142,"2013-2022 to 2023-2025",-10663,-31.1130689513065
"1010","Slender-billed Gull",2963,478289,1776,2013,1698656,NA,NA,NA,NA
"1011","Greater White-fronted Goose",369,367691,208,2020,1403937,NA,"2009-2019 to 2020-2025",-1223015,-46.5564112220721
"1012","Wayanad Laughingthrush",1251,20961,900,2015,61057,NA,NA,NA,NA
"1013","Black-backed Dwarf-Kingfisher",2078,563459,1316,2014,4250013,NA,NA,NA,NA
"1014","Chinese Pond-Heron",445,63070,260,2019,714584,NA,NA,NA,NA
"1015","Ashy-headed Green-Pigeon",1232,230711,804,2017,1215325,NA,NA,NA,NA
"1016","Ruddy Kingfisher",1099,83225,584,2017,1005277,NA,NA,NA,NA
"1017","Pale-billed Parrotbill",378,39157,192,2022,140528,NA,NA,NA,NA
"1018","Black-breasted Thrush",616,73512,400,2021,376996,NA,NA,NA,NA
"1019","Gray-headed Parrotbill",333,75829,220,2018,304473,NA,NA,NA,NA
"1020","Pied Falconet",609,44920,308,2016,150497,NA,NA,NA,NA
"1021","Asian Houbara",129,23520,60,2023,103040,NA,NA,NA,NA
"1022","White-winged Duck",246,9819,104,2021,32271,NA,NA,NA,NA
"1023","Andaman Cuckoo-Dove",790,4153,560,2021,54475,NA,NA,NA,NA
"1024","Andaman Flowerpecker",1777,4168,916,2020,32031,NA,NA,NA,NA
"1025","Andaman Woodpecker",1081,3313,552,2016,12302,19913,NA,NA,NA
"1026","Asian Glossy Starling",2220,5202,1180,2012,111944,NA,NA,NA,NA
"1027","Andaman Green-Pigeon",1757,5211,976,2014,111917,NA,NA,NA,NA
"1028","Nicobar Imperial-Pigeon",495,1349,296,2014,12179,19265,NA,NA,NA
"1029","Nicobar Bulbul",175,351,120,2021,2454,4100,NA,NA,NA
"1030","Brown Hornbill",490,19755,152,2018,69428,NA,NA,NA,NA
"1031","Long-tailed Sibia",1138,46288,504,2018,225713,NA,NA,NA,NA
"1032","Rufous-headed Parrotbill",358,14417,156,2021,71237,NA,NA,NA,NA
"1033","Rufous-throated Fulvetta",683,6621,196,2017,19938,24119,NA,NA,NA
"1034","Masked Booby",37,1508,28,2021,17928,27073,NA,NA,NA
"1035","Slaty-bellied Tesia",2166,71806,1044,2019,284879,NA,NA,NA,NA
"1036","Andaman Boobook",422,2426,272,2020,8997,15671,NA,NA,NA
"1037","Andaman Shama",1417,3691,708,2019,12849,19915,NA,NA,NA
"1038","Andaman Scops-Owl",412,2349,296,2022,9300,13820,NA,NA,NA
"1039","Freckle-breasted Woodpecker",1225,3543,648,2020,12360,19313,NA,NA,NA
"1040","Pacific Swallow",984,3723,492,2017,101310,NA,NA,NA,NA
"1041","Gray-lored Broadbill",906,59430,288,2017,203336,NA,NA,NA,NA
"1042","White-spectacled Warbler",1108,70241,644,2019,543033,NA,NA,NA,NA
"1043","Great Eared-Nightjar",588,65374,396,2015,541621,NA,NA,NA,NA
"1044","Black-naped Tern",507,16623,420,2014,807132,NA,NA,NA,NA
"1045","Van Hasselt's Sunbird",96,2472,56,2020,18237,19196,NA,NA,NA
"1046","Sclater's Monal",29,8931,28,2015,25916,33364,NA,NA,NA
"1047","Lesser Shortwing",2084,93192,1292,2021,386972,NA,NA,NA,NA
"1048","Gray Peacock-Pheasant",1317,61984,516,2018,234802,NA,NA,NA,NA
"1049","Saunders's Tern",157,2684,84,2021,10618,14690,NA,NA,NA
"1050","Hypocolius",240,8838,124,2018,34962,NA,NA,NA,NA
"1051","Collared Pratincole",1079,325567,592,2016,1400624,NA,"2006-2015 to 2016-2025",-853616,-37.8671429056367
"1052","Blue-fronted Robin",347,15766,192,2018,83286,NA,NA,NA,NA
"1053","Gray-sided Laughingthrush",1225,65732,544,2018,248258,NA,NA,NA,NA
"1054","Rufous-throated Wren-Babbler",837,8688,364,2014,46772,NA,NA,NA,NA
"1055","Yellow-throated Fulvetta",1499,63008,652,2016,290577,NA,NA,NA,NA
"1056","Brown Noddy",152,355610,116,2021,2706183,NA,NA,NA,NA
"1057","Black-faced Warbler",4706,80967,1796,2019,683215,NA,NA,NA,NA
"1058","Blue-winged Laughingthrush",2170,95147,1140,2016,378429,NA,NA,NA,NA
"1059","Chestnut-crowned Bush Warbler",407,83113,232,2015,664816,NA,NA,NA,NA
"1060","Spotted Bush Warbler",764,47265,384,2018,241370,NA,NA,NA,NA
"1061","Sooty Tern",28,2236,16,2006,251403,NA,NA,NA,NA
"1062","Legge's Hawk-Eagle",1143,34709,816,2020,107180,NA,NA,NA,NA
"1063","Crimson-browed Finch",418,24388,156,2017,313316,NA,NA,NA,NA
"1064","Rufous-breasted Bush-Robin",827,33204,548,2018,148339,NA,NA,NA,NA
"1065","Spot-winged Rosefinch",316,8064,216,2018,20607,24633,NA,NA,NA
"1066","Common Goldeneye",NA,NA,0,2013,235432,NA,NA,NA,NA
"1067","Bar-winged Wren-Babbler",319,13885,96,2021,54254,NA,NA,NA,NA
"1068","Great Slaty Woodpecker",808,114617,520,2015,764957,NA,NA,NA,NA
"1069","Red-faced Liocichla",1819,86241,976,2016,375537,NA,NA,NA,NA
"1070","Slaty-backed Flycatcher",438,73620,312,2013,383656,NA,NA,NA,NA
"1071","Sri Lanka Frogmouth",2972,33128,1268,2014,110271,NA,NA,NA,NA
"1072","Sri Lanka Bay-Owl",435,16364,148,2017,50756,NA,NA,NA,NA
"1073","Chestnut-breasted Partridge",268,28659,188,2020,107086,NA,NA,NA,NA
"1074","Rufous-backed Sibia",872,76070,504,2017,328541,NA,NA,NA,NA
"1075","Tibetan Partridge",273,8491,216,2016,26688,34689,NA,NA,NA
"1076","Upland Buzzard",750,32995,380,2012,436627,NA,NA,NA,NA
"1077","Gray-crowned Prinia",423,4563,204,2021,21003,35807,NA,NA,NA
"1078","White-throated Bushchat",11,3564,8,2021,6818,13468,NA,NA,NA
"1079","Immaculate Cupwing",736,15955,352,2016,57255,NA,NA,NA,NA
"1080","Amur Falcon",NA,NA,NA,2015,4914232,NA,NA,NA,NA
"1081","Eastern Spot-billed Duck",173,7507,140,2022,20777,27389,"2014-2021 to 2022-2025",-99147,-82.6751779637666
"1082","Caspian Plover",20,772,16,2022,1193,8087,"2008-2021 to 2022-2025",-58510,-98.0015810098931
"1083","Andaman Nightjar",340,2789,244,2020,10996,16493,NA,NA,NA
"1084","Brown-crowned Scimitar-Babbler",440,44446,244,2022,191019,NA,NA,NA,NA
"1085","Rusty-capped Fulvetta",910,42674,492,2021,160967,NA,NA,NA,NA
"1086","Rufous-faced Warbler",1122,63224,500,2021,261610,NA,NA,NA,NA
"1087","Silver-backed Needletail",118,11845,104,2020,32217,NA,"2013-2019 to 2020-2025",-9360,-22.5134702174526
"1088","Snowy-throated Babbler",246,1183,92,2021,3981,6665,NA,NA,NA
"1089","Streaked Wren-Babbler",625,27452,176,2014,94501,NA,NA,NA,NA
"1090","Large Scimitar-Babbler",626,41553,260,2014,121151,NA,NA,NA,NA
"1091","Rusty-bellied Shortwing",308,29632,232,2011,125881,NA,NA,NA,NA
"1092","Red-billed Scimitar-Babbler",331,36276,180,2021,134497,NA,NA,NA,NA
"1093","White-bellied Sholakili",1288,4765,556,2015,13079,18985,NA,NA,NA
"1094","Violet Cuckoo",935,89704,520,2014,888508,NA,NA,NA,NA
"1095","Eyebrowed Wren-Babbler",386,15066,168,2021,54823,NA,NA,NA,NA
"1096","White-tailed Flycatcher",428,9544,160,2013,37931,NA,NA,NA,NA
"1097","White-breasted Parrotbill",330,15921,188,2013,55444,NA,NA,NA,NA
"1098","Bugun Liocichla",86,183,28,2016,62,768,"2007-2015 to 2016-2025",-12,-16.1196771788846
"1099","Marsh Babbler",488,4222,116,2015,15531,23640,NA,NA,NA
"1100","Cachar Bulbul",250,7292,192,2019,38778,NA,NA,NA,NA
"1101","Mountain Bamboo-Partridge",1019,25922,492,2019,123739,NA,NA,NA,NA
"1102","Asian Emerald Cuckoo",769,95492,484,2014,928416,NA,NA,NA,NA
"1103","Parasitic Jaeger",40,908,40,2020,4953,14226,"2013-2019 to 2020-2025",-17477,-77.9186588351547
"1104","Brown-cheeked Rail",78,13869,64,2021,43377,NA,NA,NA,NA
"1105","Chin Hills Wren-Babbler",135,817,48,2021,1749,4321,NA,NA,NA
"1106","Striped Laughingthrush",505,13864,216,2017,46795,NA,NA,NA,NA
"1107","Rufous-crowned Prinia",1198,26774,564,2022,99032,NA,NA,NA,NA
"1108","Tawny-breasted Wren-Babbler",270,639,104,2017,1368,3204,NA,NA,NA
"1109","Brown-winged Kingfisher",448,2114,164,2021,8986,15318,NA,NA,NA
"1110","Golden-crested Myna",148,26713,120,2016,80396,NA,NA,NA,NA
"1111","Russet Bush Warbler",566,49667,300,2013,218186,NA,NA,NA,NA
"1112","White-rumped Snowfinch",66,5994,36,2019,87098,NA,NA,NA,NA
"1113","Blyth's Tragopan",426,42861,168,2021,168725,NA,NA,NA,NA
"1114","Siberian Blue Robin",44,10286,52,2021,47973,NA,NA,NA,NA
"1115","Ground Tit",471,35994,328,2017,229484,NA,NA,NA,NA
"1116","Burmese Shrike",95,2544,72,2024,6754,7094,NA,NA,NA
"1117","Yellow-eyed Pigeon",193,12708,120,2017,33560,NA,NA,NA,NA
"1118","Long-billed Dowitcher",8,860,8,2012,14,34697,NA,NA,NA
"1119","Gray-headed Bullfinch",555,19600,196,2015,56395,NA,NA,NA,NA
"1120","Chestnut-vented Nuthatch",316,24450,156,2022,94821,NA,NA,NA,NA
"1121","Gray-headed Parakeet",149,10538,120,2018,38669,NA,NA,NA,NA
"1122","Spot-breasted Parrotbill",366,48675,196,2020,155157,NA,NA,NA,NA
"1123","Spot-breasted Scimitar-Babbler",1396,35431,756,2018,132437,NA,NA,NA,NA
"1124","Eurasian Eagle-Owl",274,20490,164,2017,59859,NA,NA,NA,NA
"1125","Tibetan Lark",121,2099,64,2018,5103,7781,NA,NA,NA
"1126","Forest Owlet",373,21035,312,2015,61461,NA,NA,NA,NA
"1127","Oriental Bay-Owl",151,46762,112,2021,166417,NA,NA,NA,NA
"1128","Rufous-vented Grass Babbler",122,39378,76,2018,128882,NA,NA,NA,NA
"1129","Black-tailed Crake",730,61388,320,2020,297961,NA,NA,NA,NA
"1130","Vinaceous Rosefinch",90,90,24,2021,10,449,NA,NA,NA
"1131","Nicobar Megapode",110,911,104,2021,8232,13444,NA,NA,NA
"1132","Chestnut-backed Laughingthrush",145,692,84,2013,1162,4029,NA,NA,NA
"1133","Hodgson's Hawk-Cuckoo",661,24188,380,2021,109515,NA,"2013-2020 to 2021-2025",-25357,-18.8008509177607
"1134","Temminck's Tragopan",177,5487,48,2017,28946,36144,NA,NA,NA
"1135","Purple Cochoa",310,53610,208,2014,214149,NA,NA,NA,NA
"1136","Spot-breasted Laughingthrush",357,11821,172,2019,47524,NA,NA,NA,NA
"1137","Slender-billed Oriole",258,56580,144,2013,224556,NA,NA,NA,NA
"1138","Bhutan Laughingthrush",1005,2206,380,2018,4190,6022,NA,NA,NA
"1139","Brown-throated Fulvetta",890,23742,268,2022,75537,NA,NA,NA,NA
"1140","Banasura Laughingthrush",242,417,68,2017,540,1667,NA,NA,NA
"1141","Nicobar Hooded Pitta",165,409,116,2022,606,1336,NA,NA,NA
"1142","Bridled Tern",258,122544,220,2011,479537,NA,NA,NA,NA
"1143","White-breasted Woodswallow",577,3041,408,2013,12799,19344,NA,NA,NA
"1144","Hill Prinia",286,2010,168,2021,6807,10606,NA,NA,NA
"1145","Spot-throated Babbler",366,42439,272,2020,164379,NA,NA,NA,NA
"1146","Rufous-necked Snowfinch",59,2131,60,2021,71692,NA,NA,NA,NA
"1147","Hume's Boobook",543,2994,332,2019,11805,17424,NA,NA,NA
"1148","Manipur Fulvetta",504,17041,136,2018,77899,NA,NA,NA,NA
"1149","Sikkim Wedge-billed Babbler",105,744,72,2022,1633,3135,"2013-2021 to 2022-2025",-2413,-59.6404732441036
"1150","Hodgson's Frogmouth",296,68235,216,2018,265686,NA,NA,NA,NA
"1151","Cachar Wedge-billed Babbler",390,14404,124,2022,48333,NA,NA,NA,NA
"1152","Naga Wren-Babbler",200,3473,128,2014,8977,12212,NA,NA,NA
"1153","Andaman Masked-Owl",270,1890,188,2017,8488,15639,NA,NA,NA
"1154","Lesser White-fronted Goose",12,1456,12,2019,6853,39181,NA,NA,NA
"1155","Amur Stonechat",323,751,112,2018,3463,7625,NA,NA,NA
"1156","Black-headed Bulbul",332,15224,272,2020,59575,NA,NA,NA,NA
"1157","Black-headed Greenfinch",301,3303,112,2014,7558,11006,NA,NA,NA
"1158","Godlewski's Bunting",312,9419,84,2022,54826,NA,NA,NA,NA
"1159","Japanese Sparrowhawk",91,1624,64,2014,39522,NA,NA,NA,NA
"1160","Daurian Starling",238,9730,152,2023,203006,NA,"2014-2022 to 2023-2025",-579732,-74.0646309550206
"1161","Great Spotted Woodpecker",11,102,8,2019,39,1460,NA,NA,NA
"1162","Mangrove Pitta",406,1733,120,2017,7273,12895,NA,NA,NA
"1163","Gray-crowned Warbler",330,30925,164,2013,99758,NA,NA,NA,NA
"1164","Wilson's Storm-Petrel",105,874,88,2024,2331,6899,"2015-2023 to 2024-2025",-2288,-49.5317932342299
"1165","Red Knot",222,561588,68,2014,2003323,NA,NA,NA,NA
"1166","Brown-rumped Minivet",36,217196,40,2011,1033533,NA,NA,NA,NA
"1167","Flesh-footed Shearwater",22,474,20,2024,944,4540,"2013-2023 to 2024-2025",-228,-19.4667426652436
"1168","Northern Wheatear",20,4528,20,2022,13902,18412,"2013-2021 to 2022-2025",-2141149,-99.3549099987165
"1169","Asian Stubtail",8,16,16,2022,2,389,NA,NA,NA
"1170","Sichuan Leaf Warbler",292,6758,136,2018,24373,30619,NA,NA,NA
"1171","Yunnan Nuthatch",270,291,36,2021,62,866,NA,NA,NA
"1172","Gray-eyed Bulbul",25,25,20,2021,12,439,NA,NA,NA
"1173","Hainan Blue Flycatcher",140,2850,48,2021,7324,9626,NA,NA,NA
"1174","Rock Eagle-Owl",8776,788635,5848,2014,2922633,NA,NA,NA,NA
"1175","Pale Rosefinch",18,106,16,2019,51,1284,NA,NA,NA
"1176","Nicobar Scops-Owl",26,93,24,2018,300,966,NA,NA,NA
"1177","Nicobar Parakeet",24,140,20,2019,2511,5067,NA,NA,NA
"1178","Finn's Weaver",NA,NA,NA,2015,69995,NA,NA,NA,NA
"1179","Great Indian Bustard",NA,NA,NA,2015,455261,NA,"2006-2014 to 2015-2025",-74481,-14.0598587100101
"1180","Derbyan Parakeet",NA,NA,NA,2021,60,711,NA,NA,NA
"1181","Green Avadavat",NA,NA,NA,2018,314891,NA,NA,NA,NA
"1182","Lesser Florican",NA,NA,NA,2012,458722,NA,NA,NA,NA
"1183","Saker Falcon",NA,NA,NA,2015,553255,NA,NA,NA,NA
"1184","Yellow-breasted Bunting",NA,NA,NA,2018,723242,NA,NA,NA,NA
