"","Species","MinAOO","MaxAOO","MinEstimate_2km","EOOStartYear","LikelyEOO","MaxEOO","EOOYearBandChange","EOOChange","EOOChangePercent"
"36","Himalayan Swiftlet",NA,NA,NA,2017,3095595,NA,NA,NA,NA
"37","Plumbeous Redstart",NA,NA,NA,2019,1947864,NA,NA,NA,NA
"38","Red-headed Bullfinch",1595,40099,984,2017,391653,NA,NA,NA,NA
"39","Rosy Pipit",NA,NA,NA,2013,2059742,NA,NA,NA,NA
"40","Rufous-gorgeted Flycatcher",NA,NA,NA,2016,1419763,NA,NA,NA,NA
"41","Rufous-vented Tit",1398,32439,696,2018,444357,NA,NA,NA,NA
"42","Rufous-vented Yuhina",2564,29259,948,2014,139797,NA,NA,NA,NA
"43","Scaly Laughingthrush",947,43595,564,2013,173500,NA,NA,NA,NA
"44","Striated Laughingthrush",NA,NA,NA,2013,740605,NA,NA,NA,NA
"45","Himalayan White-browed Rosefinch",906,66727,308,2019,562197,NA,NA,NA,NA
"46","White-collared Blackbird",3385,61145,1556,2021,637342,NA,NA,NA,NA
"47","Eurasian Wren",NA,NA,NA,2013,1183825,NA,NA,NA,NA
"48","Yellow-bellied Fairy-Fantail",NA,NA,NA,2017,1357610,NA,NA,NA,NA
"49","Alpine Accentor",2030,96162,1012,2015,989300,NA,NA,NA,NA
"50","Black-browed Tit",816,22792,416,2016,116087,NA,NA,NA,NA
"51","Black Kite",NA,NA,NA,2008,4972926,NA,NA,NA,NA
"52","Black Redstart",NA,NA,NA,2009,4557331,NA,NA,NA,NA
"53","Black-faced Laughingthrush",2146,50784,884,2011,230203,NA,NA,NA,NA
"54","Blyth's Pipit",NA,NA,NA,2015,3495929,NA,NA,NA,NA
"55","Brown Dipper",NA,NA,NA,2014,1400711,NA,NA,NA,NA
"56","Coal Tit",NA,NA,NA,2017,1112671,NA,NA,NA,NA
"57","Himalayan Buzzard",NA,NA,NA,2018,1266983,NA,NA,NA,NA
"58","Southern Nutcracker",2787,47282,1212,2016,571061,NA,NA,NA,NA
"59","Golden Bush-Robin",3279,160412,1944,2022,1173195,NA,"2008-2021 to 2022-2025",-206373,-14.9592456170551
"60","Gould's Shortwing",170,13317,104,2021,75334,NA,NA,NA,NA
"61","Grandala",515,41958,184,2016,674938,NA,NA,NA,NA
"62","Gray-backed Shrike",NA,NA,NA,2020,1617956,NA,"2009-2019 to 2020-2025",-342798,-17.4829691873447
"63","Gray-sided Bush Warbler",2547,95709,1704,2014,915765,NA,NA,NA,NA
"64","Horned Lark",2498,64572,1540,2018,533786,NA,NA,NA,NA
"65","Ibisbill",1631,55695,504,2017,853309,NA,NA,NA,NA
"66","Large-billed Crow",NA,NA,NA,2016,7101409,NA,NA,NA,NA
"67","Bearded Vulture",NA,NA,NA,2019,729452,NA,NA,NA,NA
"68","Olive-backed Pipit",NA,NA,NA,2017,4493104,NA,NA,NA,NA
"69","Plain Mountain Finch",NA,NA,NA,2019,1148551,NA,NA,NA,NA
"70","Red-tailed Minla",4905,105703,2108,2016,397852,NA,NA,NA,NA
"71","Rusty-flanked Treecreeper",830,21286,480,2017,325445,NA,NA,NA,NA
"72","Siberian Stonechat",NA,NA,NA,2015,4898082,NA,NA,NA,NA
"73","Snow Partridge",554,17181,120,2016,232465,NA,NA,NA,NA
"74","Speckled Wood-Pigeon",1182,153088,848,2015,1135440,NA,NA,NA,NA
"75","Mongolian Short-toed Lark",NA,NA,NA,2014,4315824,NA,NA,NA,NA
"76","Tibetan Serin",299,3516,196,2015,35399,NA,NA,NA,NA
"77","White-winged Redstart",2675,78873,1468,2016,783719,NA,NA,NA,NA
"78","Yellow-billed Chough",NA,NA,NA,2015,699626,NA,NA,NA,NA
"79","Black-headed Mountain Finch",1189,55005,876,2017,517404,NA,NA,NA,NA
"80","Hume's Lark",804,427877,552,2014,1747351,NA,NA,NA,NA
"81","Robin Accentor",1942,45364,1392,2015,449989,NA,NA,NA,NA
"82","Tibetan Sandgrouse",286,11051,196,2021,30665,NA,NA,NA,NA
"83","White-throated Dipper",656,78431,472,2016,897835,NA,NA,NA,NA
"84","Lanceolated Warbler",68,320,28,2021,4571,29950,NA,NA,NA
"85","Oriental Hobby",564,64372,316,2021,330384,NA,NA,NA,NA
"86","Slender-billed Vulture",572,63853,296,2013,635679,NA,NA,NA,NA
"87","Asian Koel",NA,NA,NA,2024,7142749,NA,NA,NA,NA
"88","Beautiful Nuthatch",419,53422,232,2014,222788,NA,NA,NA,NA
"89","Beautiful Sibia",3946,39916,1032,2017,151169,NA,NA,NA,NA
"90","Black-bellied Tern",3116,808630,1824,2013,3384903,NA,NA,NA,NA
"91","Black-throated Parrotbill",1454,106547,728,2021,699306,NA,NA,NA,NA
