"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km"
"Himalayan Shortwing","Brachypteryx cruralis","","X","X",12,NA,0.322916666666667,0.5,8.83333333333333,3.16255298993415
"Indian Blue Robin","Larvivora brunnea","","","X",6,NA,0.533333333333333,1,12.3333333333333,3.60223140721291
"Siberian Blue Robin","Larvivora cyane","","","",NA,NA,NA,NA,NA,NA
"White-bellied Redstart","Luscinia phaenicuroides","","","X",4,NA,0.4,0.75,9.25,7.21815073270156
"Bluethroat","Luscinia svecica","","","X",5,NA,0.325,0.4,10.4,4.2762151489372
"Malabar Whistling-Thrush","Myophonus horsfieldii","","","",NA,NA,NA,NA,NA,NA
"Blue Whistling-Thrush","Myophonus caeruleus","","","X",69,0.144927536231884,0.358695652173913,0.507246376811594,5.81159420289855,0.93971759191299
"Little Forktail","Enicurus scouleri","","","X",31,0.032258064516129,0.298387096774194,0.580645161290323,7.67741935483871,1.56480145497089
"White-crowned Forktail","Enicurus leschenaulti","","","",8,0.25,0.34375,0.75,7.875,3.30133685042893
"Spotted Forktail","Enicurus maculatus","","","X",44,0.0909090909090909,0.278409090909091,0.545454545454545,6.56818181818182,1.2363288376523
"Black-backed Forktail","Enicurus immaculatus","","","X",32,0.125,0.28125,0.375,7.3125,1.44726709920858
"Slaty-backed Forktail","Enicurus schistaceus","","","X",43,0.0930232558139535,0.273255813953488,0.395348837209302,6.65116279069767,1.23735209294321
"Firethroat","Calliope pectardens","","","",NA,NA,NA,NA,NA,NA
"Siberian Rubythroat","Calliope calliope","","","X",11,NA,0.246753246753247,0.454545454545455,8.54545454545454,2.12028876873173
"Himalayan Rubythroat","Calliope pectoralis","","","",NA,NA,NA,NA,NA,NA
"Chinese Rubythroat","Calliope tschebaiewi","","","X",6,NA,0.452380952380952,0.5,9.16666666666667,4.27671421121922
"White-tailed Robin","Myiomela leucura","","","X",30,0.0666666666666667,0.245833333333333,0.566666666666667,7.4,1.63472951820818
"Blue-fronted Robin","Cinclidium frontale","","","X",7,NA,0.408163265306122,0.571428571428571,12.2857142857143,2.69537876126281
"Red-flanked Bluetail","Tarsiger cyanurus","","","",NA,NA,NA,NA,NA,NA
"Himalayan Bluetail","Tarsiger rufilatus","","","X",26,NA,0.384615384615385,0.615384615384615,7.53846153846154,1.86491239066399
"Rufous-breasted Bush-Robin","Tarsiger hyperythrus","","X","X",16,NA,0.390625,0.4375,9.3125,2.39194124440101
"White-browed Bush-Robin","Tarsiger indicus","","X","X",16,NA,0.328125,0.4375,8.75,2.49531427546378
"Golden Bush-Robin","Tarsiger chrysaeus","","","X",17,0.117647058823529,0.375,0.588235294117647,8.29411764705882,2.56416035752453
"Yellow-rumped Flycatcher","Ficedula zanthopygia","","","",NA,NA,NA,NA,NA,NA
"Mugimaki Flycatcher","Ficedula mugimaki","","","",NA,NA,NA,NA,NA,NA
"Slaty-backed Flycatcher","Ficedula erithacus","","","",8,NA,0.390625,0.5,9.875,3.78534344544851
"Black-and-orange Flycatcher","Ficedula nigrorufa","","","",NA,NA,NA,NA,NA,NA
"Slaty-blue Flycatcher","Ficedula tricolor","","","X",31,0.032258064516129,0.30241935483871,0.451612903225806,8,1.55317724999192
"Snowy-browed Flycatcher","Ficedula hyperythra","","","X",22,0.0454545454545455,0.295454545454545,0.454545454545455,7.59090909090909,2.04169944877263
"Pygmy Flycatcher","Ficedula hodgsoni","X","X","X",24,0.0416666666666667,0.28125,0.416666666666667,7.70833333333333,1.87462456788857
"Rufous-gorgeted Flycatcher","Ficedula strophiata","","","X",39,0.128205128205128,0.323717948717949,0.538461538461538,7.12820512820513,1.37216906117811
"Sapphire Flycatcher","Ficedula sapphira","X","X","X",13,0.0769230769230769,0.375,0.538461538461538,9.38461538461539,2.54527756243253
"Little Pied Flycatcher","Ficedula westermanni","","","X",36,0.0277777777777778,0.326388888888889,0.472222222222222,7.16666666666667,1.50307240898989
"Ultramarine Flycatcher","Ficedula superciliaris","","","X",10,NA,0.45,0.8,10.1,3.11208940174354
"Rusty-tailed Flycatcher","Ficedula ruficauda","","","",NA,NA,NA,NA,NA,NA
"Taiga Flycatcher","Ficedula albicilla","","","",NA,NA,NA,NA,NA,NA
"Kashmir Flycatcher","Ficedula subrubra","","","",NA,NA,NA,NA,NA,NA
"Red-breasted Flycatcher","Ficedula parva","","","X",34,0.0588235294117647,0.268382352941176,0.5,8.17647058823529,1.45574172784536
"Blue-fronted Redstart","Phoenicurus frontalis","","","X",38,0.105263157894737,0.417763157894737,0.552631578947368,6.36842105263158,1.44371257418351
"Plumbeous Redstart","Phoenicurus fuliginosus","","","X",65,0.153846153846154,0.355769230769231,0.523076923076923,5.8,0.983010759781476
