Sl No,Order,Family,Species,English Name,Scientific Name,eBird.English.Name.2025,eBird.Scientific.Name.2025,Authority,Alternative Names,Vagrant,Historical,IUCN RedList,WPA Schedule,SOIB,CITES Appendix,CMS Appendix,Endemic (India),Endemic (Andaman & Nicobar Is),Endemic (Assam Plains),Endemic (Cental Indian Forests),Endemic (Southern Andhra Pradesh),Endemic (Eastern Himalayas),Endemic (Indus Plains),Endemic (Northern Myanmar lowlands),Endemic (Southern Deccan Plateau),Endemic (Western Ghats),Endemic (Western Himalayas)
420,Accipitriformes,Accipitridae,Jerdon's Baza Aviceda jerdoni,Jerdon's Baza,Aviceda jerdoni,Jerdon's Baza,Aviceda jerdoni,"(Blyth, 1842)",Brown Lizard Hawk,,,Least Concern,Schedule-I,Low,Appendix II,Appendix II,,,,,,,,,,,
421,Accipitriformes,Accipitridae,Black Baza Aviceda leuphotes,Black Baza,Aviceda leuphotes,Black Baza,Aviceda leuphotes,"(Dumont, 1820)","Black-crested Baza, Black-crested Lizard Hawk",,,Least Concern,Schedule-I,Moderate,Appendix II,Appendix II,,,,,,,,,,,
422,Accipitriformes,Accipitridae,European Honey-buzzard Pernis apivorus,European Honey-buzzard,Pernis apivorus,European Honey-buzzard,Pernis apivorus,"(Linnaeus, 1758)",,X,,Least Concern,Schedule-II,,Appendix II,Appendix II,,,,,,,,,,,
423,Accipitriformes,Accipitridae,Oriental Honey-buzzard Pernis ptilorhynchus,Oriental Honey-buzzard,Pernis ptilorhynchus,Oriental Honey-buzzard,Pernis ptilorhynchus,"(Temminck, 1821)",Crested Honey Buzzard,,,Least Concern,Schedule-II,Low,Appendix II,Appendix II,,,,,,,,,,,
424,Accipitriformes,Accipitridae,Red-headed Vulture Sarcogyps calvus,Red-headed Vulture,Sarcogyps calvus,Red-headed Vulture,Sarcogyps calvus,"(Scopoli, 1786)","King Vulture, Black Vulture, Pondicherry Vulture",,,Critically Endangered,Schedule-I,High,Appendix II,Appendix I,,,,,,,,,,,
425,Accipitriformes,Accipitridae,Cinereous Vulture Aegypius monachus,Cinereous Vulture,Aegypius monachus,Cinereous Vulture,Aegypius monachus,"(Linnaeus, 1766)",Black Vulture,,,Near Threatened,Schedule-I,Moderate,Appendix II,Appendix II,,,,,,,,,,,
426,Accipitriformes,Accipitridae,Himalayan Vulture Gyps himalayensis,Himalayan Vulture,Gyps himalayensis,Himalayan Griffon,Gyps himalayensis,"Hume, 1869",Himalayan Griffon,,,Near Threatened,Schedule-I,Moderate,Appendix II,Appendix II,,,,,,,,,,,
427,Accipitriformes,Accipitridae,White-rumped Vulture Gyps bengalensis,White-rumped Vulture,Gyps bengalensis,White-rumped Vulture,Gyps bengalensis,"(Gmelin, 1788)",White-backed Vulture,,,Critically Endangered,Schedule-I,High,Appendix II,Appendix I,,,,,,,,,,,
428,Accipitriformes,Accipitridae,Indian Vulture Gyps indicus,Indian Vulture,Gyps indicus,Indian Vulture,Gyps indicus,"(Scopoli, 1786)",Long-billed Vulture (with G. tenuirostris),,,Critically Endangered,Schedule-I,High,Appendix II,Appendix I,,,,,,,,,,,
429,Accipitriformes,Accipitridae,Slender-billed Vulture Gyps tenuirostris,Slender-billed Vulture,Gyps tenuirostris,Slender-billed Vulture,Gyps tenuirostris,"Gray, 1844",,,,Critically Endangered,Schedule-I,High,Appendix II,Appendix I,,,,,,,,,,,
430,Accipitriformes,Accipitridae,Griffon Vulture Gyps fulvus,Griffon Vulture,Gyps fulvus,Eurasian Griffon,Gyps fulvus,"(Hablizl, 1783)",Eurasian Griffon,,,Least Concern,Schedule-I,High,Appendix II,Appendix II,,,,,,,,,,,
431,Accipitriformes,Accipitridae,Nicobar Serpent-Eagle Spilornis klossi,Nicobar Serpent-Eagle,Spilornis klossi,Nicobar Serpent-Eagle,Spilornis klossi,"Richmond, 1902",Great Nicobar Serpent Eagle,,,Endangered,Schedule-I,Moderate,Appendix II,,X,X,,,,,,,,,
432,Accipitriformes,Accipitridae,Crested Serpent-Eagle Spilornis cheela,Crested Serpent-Eagle,Spilornis cheela,Crested Serpent-Eagle,Spilornis cheela,"(Latham, 1790)",Central Nicobar Serpent Eagle S. [c.] minimus,,,Least Concern,Schedule-I,Low,Appendix II,,,,,,,,,,,,
433,Accipitriformes,Accipitridae,Andaman Serpent-Eagle Spilornis elgini,Andaman Serpent-Eagle,Spilornis elgini,Andaman Serpent-Eagle,Spilornis elgini,"(Blyth, 1863)",Andaman Dark Serpent Eagle,,,Vulnerable,Schedule-I,High,Appendix II,,X,X,,,,,,,,,
434,Accipitriformes,Accipitridae,Short-toed Snake-Eagle Circaetus gallicus,Short-toed Snake-Eagle,Circaetus gallicus,Short-toed Snake-Eagle,Circaetus gallicus,"(Gmelin, 1788)",Short-toed Eagle,,,Least Concern,Schedule-I,High,Appendix II,Appendix II,,,,,,,,,,,
435,Accipitriformes,Accipitridae,Legge's Hawk-Eagle Nisaetus kelaarti,Legge's Hawk-Eagle,Nisaetus kelaarti,Legge's Hawk-Eagle,Nisaetus kelaarti,"(Legge, 1878)",,,,Not recognized,Schedule-II,Moderate,Appendix II,,,,,,,,,,,,
436,Accipitriformes,Accipitridae,Mountain Hawk-Eagle Nisaetus nipalensis,Mountain Hawk-Eagle,Nisaetus nipalensis,Mountain Hawk-Eagle,Nisaetus nipalensis,"Hodgson, 1836",[Hodgson's Hawk Eagle],,,Near Threatened,Schedule-I,Low,Appendix II,,,,,,,,,,,,
437,Accipitriformes,Accipitridae,Changeable Hawk-Eagle Nisaetus cirrhatus,Changeable Hawk-Eagle,Nisaetus cirrhatus,Changeable Hawk-Eagle,Nisaetus cirrhatus,"(Gmelin, 1788)",Crested Hawk Eagle N. [c.] cirrhatus & N. [c.] ceylanensis,,,Least Concern,Schedule-I,Low,Appendix II,,,,,,,,,,,,
438,Accipitriformes,Accipitridae,Rufous-bellied Eagle Lophotriorchis kienerii,Rufous-bellied Eagle,Lophotriorchis kienerii,Rufous-bellied Eagle,Lophotriorchis kienerii,"(de Sparre, 1835)",Rufous-bellied Hawk Eagle,,,Near Threatened,Schedule-I,Low,Appendix II,,,,,,,,,,,,
439,Accipitriformes,Accipitridae,Black Eagle Ictinaetus malaiensis,Black Eagle,Ictinaetus malaiensis,Black Eagle,Ictinaetus malaiensis,"(Temminck, 1822)",,,,Least Concern,Schedule-I,Low,Appendix II,,,,,,,,,,,,
440,Accipitriformes,Accipitridae,Indian Spotted Eagle Clanga hastata,Indian Spotted Eagle,Clanga hastata,Indian Spotted Eagle,Clanga hastata,"(Lesson, 1831)",Lesser Spotted Eagle (with C. pomarina EL),,,Near Threatened,Schedule-I,Moderate,Appendix II,,,,,,,,,,,,
441,Accipitriformes,Accipitridae,Greater Spotted Eagle Clanga clanga,Greater Spotted Eagle,Clanga clanga,Greater Spotted Eagle,Clanga clanga,"(Pallas, 1811)",,,,Vulnerable,Schedule-I,Low,Appendix II,Appendix I,,,,,,,,,,,
442,Accipitriformes,Accipitridae,Booted Eagle Hieraaetus pennatus,Booted Eagle,Hieraaetus pennatus,Booted Eagle,Hieraaetus pennatus,"(Gmelin, 1788)",Booted Hawk Eagle,,,Least Concern,Schedule-I,Low,Appendix II,Appendix II,,,,,,,,,,,
443,Accipitriformes,Accipitridae,Steppe Eagle Aquila nipalensis,Steppe Eagle,Aquila nipalensis,Steppe Eagle,Aquila nipalensis,"Hodgson, 1833",,,,Endangered,Schedule-I,Low,Appendix II,Appendix I,,,,,,,,,,,
444,Accipitriformes,Accipitridae,Imperial Eagle Aquila heliaca,Imperial Eagle,Aquila heliaca,Imperial Eagle,Aquila heliaca,"de Savigny, 1809",Eastern Imperial Eagle,,,Vulnerable,Schedule-I,Moderate,Appendix I,Appendix I,,,,,,,,,,,
445,Accipitriformes,Accipitridae,Tawny Eagle Aquila rapax,Tawny Eagle,Aquila rapax,Tawny Eagle,Aquila rapax,"(Temminck, 1828)",,,,Vulnerable,Schedule-I,High,Appendix II,Appendix II,,,,,,,,,,,
446,Accipitriformes,Accipitridae,Golden Eagle Aquila chrysaetos,Golden Eagle,Aquila chrysaetos,Golden Eagle,Aquila chrysaetos,"(Linnaeus, 1758)",,,,Least Concern,Schedule-I,Low,Appendix II,Appendix II,,,,,,,,,,,
447,Accipitriformes,Accipitridae,Bonelli's Eagle Aquila fasciata,Bonelli's Eagle,Aquila fasciata,Bonelli's Eagle,Aquila fasciata,"Vieillot, 1822",Bonelli's Hawk Eagle,,,Least Concern,Schedule-I,Low,Appendix II,,,,,,,,,,,,
448,Accipitriformes,Accipitridae,Crested Goshawk Lophospiza trivirgata,Crested Goshawk,Lophospiza trivirgata,Crested Goshawk,Lophospiza trivirgata,"(Temminck, 1824)",,,,Least Concern,Schedule-I,Moderate,Appendix II,,,,,,,,,,,,
449,Accipitriformes,Accipitridae,Besra Tachyspiza virgata,Besra,Tachyspiza virgata,Besra,Tachyspiza virgata,"(Temminck, 1822)",,,,Least Concern,Schedule-I,Low,Appendix II,Appendix II,,,,,,,,,,,
450,Accipitriformes,Accipitridae,Japanese Sparrowhawk Tachyspiza gularis,Japanese Sparrowhawk,Tachyspiza gularis,Japanese Sparrowhawk,Tachyspiza gularis,"(Temminck & Schlegel, 1844)",Eastern Sparrowhawk,,,Least Concern,Schedule-I,,Appendix II,Appendix II,,,,,,,,,,,
451,Accipitriformes,Accipitridae,Shikra Tachyspiza badia,Shikra,Tachyspiza badia,Shikra,Tachyspiza badia,"(Gmelin, 1788)",,,,Least Concern,Schedule-I,Low,Appendix II,Appendix II,,,,,,,,,,,
452,Accipitriformes,Accipitridae,Nicobar Sparrowhawk Tachyspiza butleri,Nicobar Sparrowhawk,Tachyspiza butleri,Nicobar Sparrowhawk,Tachyspiza butleri,"(Gurney, 1898)",,,,Vulnerable,Schedule-I,High,Appendix II,,X,X,,,,,,,,,
453,Accipitriformes,Accipitridae,Levant Sparrowhawk Tachyspiza brevipes,Levant Sparrowhawk,Tachyspiza brevipes,Levant Sparrowhawk,Tachyspiza brevipes,"(Severtsov, 1850)",,X,,Least Concern,Recent addition,,Appendix II,Appendix II,,,,,,,,,,,
454,Accipitriformes,Accipitridae,Chinese Sparrowhawk Tachyspiza soloensis,Chinese Sparrowhawk,Tachyspiza soloensis,Chinese Sparrowhawk,Tachyspiza soloensis,"(Horsfield, 1821)",Horsfield's Sparrowhawk,,,Least Concern,Schedule-I,,Appendix II,Appendix II,,,,,,,,,,,
455,Accipitriformes,Accipitridae,Eurasian Sparrowhawk Accipiter nisus,Eurasian Sparrowhawk,Accipiter nisus,Eurasian Sparrowhawk,Accipiter nisus,"(Linnaeus, 1758)",Sparrowhawk,,,Least Concern,Schedule-I,Low,Appendix II,Appendix II,,,,,,,,,,,
456,Accipitriformes,Accipitridae,Northern Goshawk Astur gentilis,Northern Goshawk,Astur gentilis,Eurasian Goshawk,Astur gentilis,"(Linnaeus, 1758)","Eastern Goshawk, Eurasian Goshawk",,,Least Concern,Schedule-I,,Appendix II,Appendix II,,,,,,,,,,,
457,Accipitriformes,Accipitridae,Western Marsh Harrier Circus aeruginosus,Western Marsh Harrier,Circus aeruginosus,Western Marsh Harrier,Circus aeruginosus,"(Linnaeus, 1758)",Eurasian Marsh Harrier (with C. spilonotus),,,Least Concern,Schedule-I,High,Appendix II,Appendix II,,,,,,,,,,,
458,Accipitriformes,Accipitridae,Eastern Marsh Harrier Circus spilonotus,Eastern Marsh Harrier,Circus spilonotus,Eastern Marsh Harrier,Circus spilonotus,"Kaup, 1847",Striped Harrier,,,Least Concern,Schedule-I,,Appendix II,Appendix II,,,,,,,,,,,
459,Accipitriformes,Accipitridae,Hen Harrier Circus cyaneus,Hen Harrier,Circus cyaneus,Hen Harrier,Circus cyaneus,"(Linnaeus, 1766)",Northern Harrier (with C. hudsonius EL),,,Least Concern,Schedule-I,Moderate,Appendix II,Appendix II,,,,,,,,,,,
460,Accipitriformes,Accipitridae,Pallid Harrier Circus macrourus,Pallid Harrier,Circus macrourus,Pallid Harrier,Circus macrourus,"(Gmelin, 1770)",Pale Harrier,,,Near Threatened,Schedule-I,High,Appendix II,Appendix II,,,,,,,,,,,
461,Accipitriformes,Accipitridae,Pied Harrier Circus melanoleucos,Pied Harrier,Circus melanoleucos,Pied Harrier,Circus melanoleucos,"(Pennant, 1769)",,,,Least Concern,Schedule-I,Low,Appendix II,Appendix II,,,,,,,,,,,
462,Accipitriformes,Accipitridae,Montagu's Harrier Circus pygargus,Montagu's Harrier,Circus pygargus,Montagu's Harrier,Circus pygargus,"(Linnaeus, 1758)",,,,Least Concern,Schedule-I,High,Appendix II,Appendix II,,,,,,,,,,,
463,Accipitriformes,Accipitridae,Red Kite Milvus milvus,Red Kite,Milvus milvus,Red Kite,Milvus milvus,"(Linnaeus, 1758)",,,X,Least Concern,Schedule-I,,Appendix II,Appendix II,,,,,,,,,,,
464,Accipitriformes,Accipitridae,Black Kite Milvus migrans,Black Kite,Milvus migrans,Black Kite,Milvus migrans,"(Boddaert, 1783)",Pariah Kite, Black-eared Kite M. [m.] lineatus,,,Least Concern,Schedule-II,Low,Appendix II,Appendix II,,,,,,,,,,
465,Accipitriformes,Accipitridae,Brahminy Kite Haliastur indus,Brahminy Kite,Haliastur indus,Brahminy Kite,Haliastur indus,"(Boddaert, 1783)",,,,Least Concern,Schedule-I,Low,Appendix II,,,,,,,,,,,,
466,Accipitriformes,Accipitridae,White-tailed Eagle Haliaeetus albicilla,White-tailed Eagle,Haliaeetus albicilla,White-tailed Eagle,Haliaeetus albicilla,"(Linnaeus, 1758)",White-tailed Sea Eagle,,,Least Concern,Schedule-I,,Appendix I,Appendix I,,,,,,,,,,,
467,Accipitriformes,Accipitridae,Pallas's Fish-Eagle Haliaeetus leucoryphus,Pallas's Fish-Eagle,Haliaeetus leucoryphus,Pallas's Fish-Eagle,Haliaeetus leucoryphus,"(Pallas, 1771)",Ring-tailed Fishing Eagle,,,Endangered,Schedule-I,High,Appendix II,Appendix I,,,,,,,,,,,
468,Accipitriformes,Accipitridae,White-bellied Sea-Eagle Icthyophaga leucogaster,White-bellied Sea-Eagle,Icthyophaga leucogaster,White-bellied Sea-Eagle,Icthyophaga leucogaster,"(Gmelin, 1788)",,,,Least Concern,Schedule-I,Moderate,Appendix II,Appendix II,,,,,,,,,,,
469,Accipitriformes,Accipitridae,Lesser Fish-Eagle Icthyophaga humilis,Lesser Fish-Eagle,Icthyophaga humilis,Lesser Fish-Eagle,Icthyophaga humilis,"(Müller & Schlegel, 1841)",Himalayan Grey-headed Fishing Eagle,,,Near Threatened,Schedule-I,Low,Appendix II,,,,,,,,,,,,
470,Accipitriformes,Accipitridae,Grey-headed Fish-Eagle Icthyophaga ichthyaetus,Grey-headed Fish-Eagle,Icthyophaga ichthyaetus,Gray-headed Fish-Eagle,Icthyophaga ichthyaetus,"(Horsfield, 1821)",Grey-headed Fishing Eagle,,,Near Threatened,Schedule-I,Moderate,Appendix II,,,,,,,,,,,,
471,Accipitriformes,Accipitridae,Rufous-winged Buzzard Butastur liventer,Rufous-winged Buzzard,Butastur liventer,Rufous-winged Buzzard,Butastur liventer,"(Temminck, 1827)",,X,,Least Concern,Recent addition,,Appendix II,,,,,,,,,,,,
472,Accipitriformes,Accipitridae,White-eyed Buzzard Butastur teesa,White-eyed Buzzard,Butastur teesa,White-eyed Buzzard,Butastur teesa,"(Franklin, 1831)",White-eyed Buzzard Eagle,,,Least Concern,Schedule-I,Moderate,Appendix II,,,,,,,,,,,,
473,Accipitriformes,Accipitridae,Grey-faced Buzzard Butastur indicus,Grey-faced Buzzard,Butastur indicus,Gray-faced Buzzard,Butastur indicus,"(Gmelin, 1788)",,X,,Least Concern,Schedule-I,,Appendix II,Appendix II,,,,,,,,,,,
474,Accipitriformes,Accipitridae,Rough-legged Buzzard Buteo lagopus,Rough-legged Buzzard,Buteo lagopus,Rough-legged Hawk,Buteo lagopus,"(Pontoppidan, 1763)",Rough-legged Hawk,X,,Least Concern,Schedule-II,,Appendix II,Appendix II,,,,,,,,,,,
475,Accipitriformes,Accipitridae,Common Buzzard Buteo buteo,Common Buzzard,Buteo buteo,Common Buzzard,Buteo buteo,"(Linnaeus, 1758)",Eurasian Buzzard, Steppe Buzzard/Desert Buzzard B. [b.] vulpinus, Buzzard B. [b.] japonicus,,,Least Concern,Schedule-I,Low,Appendix II,Appendix II,,,,,,,,,
476,Accipitriformes,Accipitridae,Long-legged Buzzard Buteo rufinus,Long-legged Buzzard,Buteo rufinus,Long-legged Buzzard,Buteo rufinus,"(Cretzschmar, 1829)",,,,Least Concern,Schedule-I,Low,Appendix II,Appendix II,,,,,,,,,,,
477,Accipitriformes,Accipitridae,Upland Buzzard Buteo hemilasius,Upland Buzzard,Buteo hemilasius,Upland Buzzard,Buteo hemilasius,"Temminck & Schlegel, 1844",,,,Least Concern,Schedule-I,,Appendix II,Appendix II,,,,,,,,,,,
478,Accipitriformes,Accipitridae,Himalayan Buzzard Buteo refectus,Himalayan Buzzard,Buteo refectus,Himalayan Buzzard,Buteo refectus,"Portenko, 1935",,,,Least Concern,Schedule-I,,Appendix II,Appendix II,,,,,,,,,,,
479,Strigiformes,Tytonidae,Eastern Grass-Owl Tyto longimembris,Eastern Grass-Owl,Tyto longimembris,Australasian Grass-Owl,Tyto longimembris,"(Jerdon, 1839)",Australasian Grass Owl,,,Least Concern,Schedule-II,,Appendix II,,,,,,,,,,,,
480,Strigiformes,Tytonidae,Eastern Barn Owl Tyto javanica,Eastern Barn Owl,Tyto javanica,Eastern Barn Owl,Tyto javanica,"(Gmelin, 1788)","[Barn Owl, Common Barn Owl, Western Barn Owl]",,,Least Concern,Schedule-I,,Appendix II,,,,,,,,,,,,
481,Strigiformes,Tytonidae,Andaman Barn Owl Tyto deroepstorffi,Andaman Barn Owl,Tyto deroepstorffi,Andaman Masked-Owl,Tyto deroepstorffi,"(Hume, 1875)",Andaman Masked Owl,,,Not recognized,Schedule-I,,Appendix II,,X,X,,,,,,,,,
482,Strigiformes,Tytonidae,Oriental Bay-Owl Phodilus badius,Oriental Bay-Owl,Phodilus badius,Oriental Bay-Owl,Phodilus badius,"(Horsfield, 1821)",Bay Owl (with P. assimilis),,,Least Concern,Schedule-II,,Appendix II,,,,,,,,,,,,
483,Strigiformes,Tytonidae,Sri Lanka Bay-Owl Phodilus assimilis,Sri Lanka Bay-Owl,Phodilus assimilis,Sri Lanka Bay-Owl,Phodilus assimilis,"Hume, 1877",,,,Least Concern,Schedule-II,,Appendix II,,,,,,,,,,,,
484,Strigiformes,Strigidae,Andaman Scops-Owl Otus balli,Andaman Scops-Owl,Otus balli,Andaman Scops-Owl,Otus balli,"(Hume, 1873)",,,,Least Concern,Schedule-II,,Appendix II,,X,X,,,,,,,,,
485,Strigiformes,Strigidae,Mountain Scops-Owl Otus spilocephalus,Mountain Scops-Owl,Otus spilocephalus,Mountain Scops-Owl,Otus spilocephalus,"(Blyth, 1846)",Spotted Scops Owl,,,Least Concern,Schedule-II,,Appendix II,,,,,,,,,,,,
486,Strigiformes,Strigidae,Indian Scops-Owl Otus bakkamoena,Indian Scops-Owl,Otus bakkamoena,Indian Scops-Owl,Otus bakkamoena,"Pennant, 1769",,,,Least Concern,Schedule-II,,Appendix II,,,,,,,,,,,,
487,Strigiformes,Strigidae,Collared Scops-Owl Otus lettia,Collared Scops-Owl,Otus lettia,Collared Scops-Owl,Otus lettia,"(Hodgson, 1836)",,,,Least Concern,Schedule-II,,Appendix II,,,,,,,,,,,,
488,Strigiformes,Strigidae,Nicobar Scops-Owl Otus alius,Nicobar Scops-Owl,Otus alius,Nicobar Scops-Owl,Otus alius,"Rasmussen, 1998",,,,Near Threatened,Schedule-II,,Appendix II,,X,X,,,,,,,,,
489,Strigiformes,Strigidae,Eurasian Scops-Owl Otus scops,Eurasian Scops-Owl,Otus scops,Eurasian Scops-Owl,Otus scops,"(Linnaeus, 1758)",European Scops Owl,,,Least Concern,Schedule-II,,Appendix II,,,,,,,,,,,,
490,Strigiformes,Strigidae,Pallid Scops-Owl Otus brucei,Pallid Scops-Owl,Otus brucei,Pallid Scops-Owl,Otus brucei,"(Hume, 1872)",Striated Scops Owl,,,Least Concern,Schedule-II,,Appendix II,,,,,,,,,,,,
491,Strigiformes,Strigidae,Oriental Scops-Owl Otus sunia,Oriental Scops-Owl,Otus sunia,Oriental Scops-Owl,Otus sunia,"(Hodgson, 1836)",Scops Owl, Walden's Scops Owl O. [s.] modestus,,,Least Concern,Schedule-II,,Appendix II,,,,,,,,,,,
492,Strigiformes,Strigidae,Indian Eagle-Owl Bubo bengalensis,Indian Eagle-Owl,Bubo bengalensis,Rock Eagle-Owl,Bubo bengalensis,"(Franklin, 1831)",Rock Eagle Owl,,,Least Concern,Schedule-I,,Appendix II,,,,,,,,,,,,
493,Strigiformes,Strigidae,Eurasian Eagle-Owl Bubo bubo,Eurasian Eagle-Owl,Bubo bubo,Eurasian Eagle-Owl,Bubo bubo,"(Linnaeus, 1758)",Great Horned Owl (with B. bengalensis),,,Least Concern,Schedule-I,,Appendix II,,,,,,,,,,,,
494,Strigiformes,Strigidae,Buffy Fish-Owl Ketupa ketupu,Buffy Fish-Owl,Ketupa ketupu,Buffy Fish-Owl,Ketupa ketupu,"(Horsfield, 1821)",Malay Fish Owl,,,Least Concern,Schedule-I,,Appendix II,,,,,,,,,,,,
495,Strigiformes,Strigidae,Brown Fish-Owl Ketupa zeylonensis,Brown Fish-Owl,Ketupa zeylonensis,Brown Fish-Owl,Ketupa zeylonensis,"(Gmelin, 1788)",,,,Least Concern,Schedule-I,Moderate,Appendix II,,,,,,,,,,,,
496,Strigiformes,Strigidae,Tawny Fish-Owl Ketupa flavipes,Tawny Fish-Owl,Ketupa flavipes,Tawny Fish-Owl,Ketupa flavipes,"(Hodgson, 1836)",,,,Least Concern,Schedule-I,,Appendix II,,,,,,,,,,,,
497,Strigiformes,Strigidae,Dusky Eagle-Owl Ketupa coromanda,Dusky Eagle-Owl,Ketupa coromanda,Dusky Eagle-Owl,Ketupa coromanda,"(Latham, 1790)",Dusky Horned Owl,,,Least Concern,Schedule-II,Moderate,Appendix II,,,,,,,,,,,,
498,Strigiformes,Strigidae,Spot-bellied Eagle-Owl Ketupa nipalensis,Spot-bellied Eagle-Owl,Ketupa nipalensis,Spot-bellied Eagle-Owl,Ketupa nipalensis,"(Hodgson, 1836)",Forest Eagle Owl,,,Least Concern,Schedule-I,,Appendix II,,,,,,,,,,,,
499,Strigiformes,Strigidae,Asian Barred Owlet Glaucidium cuculoides,Asian Barred Owlet,Glaucidium cuculoides,Asian Barred Owlet,Glaucidium cuculoides,"(Vigors, 1831)",Barred Owlet,,,Least Concern,Schedule-II,Low,Appendix II,,,,,,,,,,,,
500,Strigiformes,Strigidae,Jungle Owlet Glaucidium radiatum,Jungle Owlet,Glaucidium radiatum,Jungle Owlet,Glaucidium radiatum,"(Tickell, 1833)",Barred Jungle Owlet,,,Least Concern,Schedule-II,Low,Appendix II,,,,,,,,,,,,
501,Strigiformes,Strigidae,Collared Owlet Taenioptynx brodiei,Collared Owlet,Taenioptynx brodiei,Collared Owlet,Taenioptynx brodiei,"(Burton, 1836)",Collared Pygmy Owlet,,,Least Concern,Schedule-II,Low,Appendix II,,,,,,,,,,,,
502,Strigiformes,Strigidae,Spotted Owlet Athene brama,Spotted Owlet,Athene brama,Spotted Owlet,Athene brama,"(Temminck, 1821)",,,,Least Concern,Schedule-II,,Appendix II,,,,,,,,,,,,
503,Strigiformes,Strigidae,Little Owl Athene noctua,Little Owl,Athene noctua,Little Owl,Athene noctua,"(Scopoli, 1769)",,,,Least Concern,Schedule-II,,Appendix II,,,,,,,,,,,,
504,Strigiformes,Strigidae,Forest Owlet Athene blewitti,Forest Owlet,Athene blewitti,Forest Owlet,Athene blewitti,"(Hume, 1873)","Forest Spotted Owlet, Blewitt's Owl",,,Endangered,Schedule-I,High,Appendix I,,X,,,X,,,,,,,
505,Strigiformes,Strigidae,Mottled Wood-Owl Strix ocellata,Mottled Wood-Owl,Strix ocellata,Mottled Wood-Owl,Strix ocellata,"(Lesson, 1839)",,,,Least Concern,Schedule-I,,Appendix II,,,,,,,,,,,,
506,Strigiformes,Strigidae,Brown Wood-Owl Strix leptogrammica,Brown Wood-Owl,Strix leptogrammica,Brown Wood-Owl,Strix leptogrammica,"Temminck, 1832",,,,Least Concern,Schedule-I,,Appendix II,,,,,,,,,,,,
507,Strigiformes,Strigidae,Tawny Owl Strix aluco,Tawny Owl,Strix aluco,Tawny Owl,Strix aluco,"Linnaeus, 1758",,,,Least Concern,Schedule-II,,Appendix II,,,,,,,,,,,,
508,Strigiformes,Strigidae,Himalayan Owl Strix nivicolum,Himalayan Owl,Strix nivicolum,Himalayan Owl,Strix nivicolum,"(Blyth, 1845)",Himalayan Wood Owl,,,Least Concern,Schedule-II,,Appendix II,,,,,,,,,,,,
509,Strigiformes,Strigidae,Long-eared Owl Asio otus,Long-eared Owl,Asio otus,Long-eared Owl,Asio otus,"(Linnaeus, 1758)",Northern Long-eared Owl,,,Least Concern,Schedule-I,,Appendix II,Appendix II,,,,,,,,,,,
510,Strigiformes,Strigidae,Short-eared Owl Asio flammeus,Short-eared Owl,Asio flammeus,Short-eared Owl,Asio flammeus,"(Pontoppidan, 1763)",,,,Least Concern,Schedule-I,Low,Appendix II,,,,,,,,,,,,
511,Strigiformes,Strigidae,Boreal Owl Aegolius funereus,Boreal Owl,Aegolius funereus,Boreal Owl,Aegolius funereus,"(Linnaeus, 1758)",Tengmalm's Owl,X,,Least Concern,Schedule-II,,Appendix II,,,,,,,,,,,,
512,Strigiformes,Strigidae,Andaman Boobook Ninox affinis,Andaman Boobook,Ninox affinis,Andaman Boobook,Ninox affinis,"Beavan, 1867",Andaman Hawk Owl,,,Least Concern,Schedule-II,,Appendix II,,X,X,,,,,,,,,
513,Strigiformes,Strigidae,Brown Boobook Ninox scutulata,Brown Boobook,Ninox scutulata,Brown Boobook,Ninox scutulata,"(Raffles, 1822)",Brown Hawk Owl,,,Least Concern,Schedule-II,,Appendix II,,,,,,,,,,,,
